transaction_id,date,user_id,merchant_id,amount,transaction_type,device_type,lat,lon,fraud_label,card_type
txn_000000,2025-08-27 08:19:46.931500,user_1412,merchant_50,984.7982187689684,POS,Desktop,22.51420897163896,88.35062336303619,0,Credit
txn_000001,2025-04-14 08:19:46.931500,user_1907,merchant_470,747.8086375120346,Online,Mobile,22.54337736340115,88.30614215339929,0,Debit
txn_000002,2025-03-23 08:19:46.931500,user_1942,merchant_402,1328.7575722368756,POS,Mobile,12.988483007815763,77.61282484883864,0,Credit
txn_000003,2025-05-26 08:19:46.931500,user_1003,merchant_260,33.91627112737865,POS,Tablet,19.156012486317046,72.90523224978156,0,Credit
txn_000004,2025-05-18 08:19:46.931500,user_1499,merchant_363,348.189588659268,Online,Mobile,28.634037322251483,77.19131964004005,0,Credit
txn_000005,2025-05-13 08:19:46.931500,user_1994,merchant_244,217.0924422973069,Online,Mobile,19.20573016099248,72.85326201887604,0,Credit
txn_000006,2025-04-21 08:19:46.931500,user_854,merchant_275,868.8104943079575,POS,Mobile,12.952844124492394,77.63843138899223,0,Credit
txn_000007,2025-04-12 08:19:46.931500,user_1688,merchant_161,433.8348929064386,Online,Mobile,18.989925543598098,72.86602498023723,0,Credit
txn_000008,2025-09-06 08:19:46.931500,user_334,merchant_54,3897.984012602233,ATM,Tablet,28.615099274689083,77.17980481808418,0,Debit
txn_000009,2025-08-03 08:19:46.931500,user_296,merchant_414,690.1056595919179,Transfer,Mobile,19.122456976933833,72.89465613675269,0,Credit
txn_000010,2025-04-08 08:19:46.931500,user_1036,merchant_424,63.56334483897746,Transfer,Desktop,40.72478827420383,-73.99664189404176,0,Credit
txn_000011,2025-08-15 08:19:46.931500,user_261,merchant_310,313.595311038501,Transfer,Mobile,28.592086564602457,77.09615093272375,0,Debit
txn_000012,2025-07-03 08:19:46.931500,user_993,merchant_117,799.1797861093744,Transfer,Mobile,22.597117832071483,88.40795334838646,0,Debit
txn_000013,2025-03-25 08:19:46.931500,user_1457,merchant_369,335.57362984762415,POS,Desktop,12.969651691741204,77.51524521319396,0,Credit
txn_000014,2025-03-24 08:19:46.931500,user_938,merchant_179,14.09289072060767,ATM,Tablet,28.585270564628143,77.17619864988599,0,Prepaid
txn_000015,2025-04-09 08:19:46.931500,user_265,merchant_368,229.32113369472552,Transfer,Mobile,22.54705029844759,88.38502961985377,0,Credit
txn_000016,2025-05-11 08:19:46.931500,user_1983,merchant_360,414.11958391842035,POS,Mobile,12.904542138257337,77.58031984665291,0,Credit
txn_000017,2025-05-15 08:19:46.931500,user_1443,merchant_331,550.0281559668284,Online,Mobile,22.562030763880134,88.43559787608845,0,Debit
txn_000018,2025-07-24 08:19:46.931500,user_1052,merchant_500,478.75600701484416,Online,Desktop,19.089812785955704,72.84798858151194,0,Debit
txn_000019,2025-08-18 08:19:46.931500,user_1768,merchant_284,315.73464741710774,POS,Tablet,28.679462733428522,77.1396802468522,0,Debit
txn_000020,2025-03-23 08:19:46.931500,user_1084,merchant_421,781.7940316545408,POS,Desktop,28.576413319515655,77.10907750812123,0,Debit
txn_000021,2025-08-07 08:19:46.931500,user_242,merchant_115,461.2817190314274,POS,Desktop,13.049098273176817,77.60070834422828,0,Debit
txn_000022,2025-05-06 08:19:46.931500,user_1423,merchant_239,562.8204085993771,Transfer,Mobile,40.69946622250737,-73.93803835169457,0,Debit
txn_000023,2025-08-30 08:19:46.931500,user_436,merchant_138,331.7132067834704,POS,Mobile,19.041006740582034,72.84765260086532,0,Credit
txn_000024,2025-09-12 08:19:46.931500,user_933,merchant_295,952.6820792720637,POS,Mobile,22.62466681596679,88.33115214313074,0,Debit
txn_000025,2025-08-03 08:19:46.931500,user_970,merchant_429,382.5106684379418,POS,Mobile,22.54569689170513,88.36334938753227,0,Debit
txn_000026,2025-07-02 08:19:46.931500,user_67,merchant_28,522.4078599779782,Transfer,Desktop,22.587033601068722,88.39682266444798,0,Credit
txn_000027,2025-05-12 08:19:46.931500,user_1529,merchant_236,810.499832638064,ATM,Mobile,12.959352987959516,77.50624081539237,0,Prepaid
txn_000028,2025-07-09 08:19:46.931500,user_322,merchant_317,584.0126783179878,Online,Mobile,22.587688933115313,88.37017958881216,0,Debit
txn_000028,2025-08-14 08:19:46.931500,user_1934,merchant_225,576.5269089312444,POS,Desktop,40.718816495482606,-74.03778884366041,0,Prepaid
txn_000030,2025-05-27 08:19:46.931500,user_1145,merchant_255,92.09665281898401,Online,Tablet,28.51612828607862,77.1984114972827,0,Credit
txn_000030,2025-03-18 08:19:46.931500,user_757,merchant_303,704.1905005081654,Transfer,Mobile,40.66261923604571,-73.97214913468413,0,Credit
txn_000032,2025-04-26 08:19:46.931500,user_1888,,516.676082064047,Transfer,Mobile,40.74742546849415,-74.07700046734091,0,Credit
txn_000032,2025-09-11 08:19:46.931500,user_1950,merchant_34,662.4695309517651,Transfer,Mobile,19.034926669950853,72.95523462317516,0,Debit
txn_000034,2025-07-03 08:19:46.931500,user_244,merchant_489,554.963914510651,POS,Mobile,19.047773361526577,72.87985788222461,0,Debit
txn_000034,2025-06-12 08:19:46.931500,user_1233,merchant_88,332.25273286313836,POS,Mobile,28.653941418476915,77.21114420503868,0,Credit
txn_000036,2025-05-27 08:19:46.931500,user_1746,merchant_12,768.2921499648785,POS,Tablet,28.66447710690098,77.24679670479352,0,Debit
txn_000037,2025-04-25 08:19:46.931500,user_837,merchant_287,559.4379833839747,ATM,Desktop,19.136529771028066,72.878677849579,0,Debit
txn_000038,2025-05-11 08:19:46.931500,user_226,merchant_230,113.18405268712706,Online,Desktop,40.68987440032359,-74.06582610332073,0,Debit
txn_000038,2025-06-11 08:19:46.931500,user_248,merchant_287,,Transfer,Mobile,28.630996956335697,77.26228549004462,0,Debit
txn_000040,2025-04-12 08:19:46.931500,user_757,merchant_333,70.85613068375841,Transfer,Mobile,22.53297274360045,88.32853354886173,0,Credit
txn_000041,2025-04-09 08:19:46.931500,user_1171,merchant_30,770.2787702751627,Transfer,Mobile,28.592020780063518,77.15488147248337,0,Credit
